並,row,hei,nami|nara-bu
乱,riot,ran,mida-reru
乳,milk,nyū,chichi
亡,deceased,bō,na-kunaru
仁,kindness,jin,
供,offer,kyō|ku,tomo
俳,actor,hai,
値,value,chi,atai
傷,wound,shō,kizu
優,superior,yū,yasa-shii
党,political party,tō,
冊,counter for books,satsu,
処,dispose,sho,
刻,engrave,koku,kiza-mu
割,divide,katsu,wa-ru
創,create,sō,tsuku-ru
劇,drama,geki,
勤,diligence,kin,tsuto-meru
危,dangerous,ki,aya-ui
卵,egg,ran,tamago
厳,strict,gen,kibi-shii
収,take in,shū,osa-meru
后,queen,gō,kisaki
否,negate,hi,ina|iya
吸,suck,kyū,su-u
呼,call,ko,yo-bu
善,good,zen,yo-i
困,become distressed,kon,koma-ru
垂,droop,sui,ta-reru
城,castle,jō,shiro
域,range,iki,
奏,play music,sō,kana-deru
奮,stirred up,hun,huru-u
姿,shape,shi,sugata
存,suppose,son,
孝,filial piety,kō,
宅,home,taku,ie
宇,eaves,u,
宗,religion,shū,sō
宙,mid-air,chū,
宝,treasure,hō,takara
宣,proclaim,sen,notama-u
密,secrecy,mitsu,
寸,measurement,sun,
専,specialty,sen,moppa-ra
射,shoot,sha,i-ru
将,leader,shō,
尊,revered,son,touto-bu
就,concerning,shū,tsu-ku
尺,measure of length,shaku,
届,deliver,,todo-ku
展,expand,ten,
層,stratum,sō,
己,self,ko,onore
巻,scroll,kan,ma-ku
幕,curtain,maku|baku,
干,dry,kan,ho-su
幼,infancy,yō,osana-i
庁,government office,chō,
座,sit,za,suwa-ru
延,prolong,en,no-basu
律,rhythm,ritsu,
従,obey,jū,shitaga-u
忘,forget,bō,wasu-reru
忠,loyalty,chū,
憲,constitution,ken,
我,ego,ga,ware
批,criticism,hi,
担,shouldering,tan,nina-u
拝,worship,hai,oga-mu
拡,broaden,kaku,hiro-geru
捨,throw away,sha,su-teru
探,grope,tan,saga-su
推,infer,sui,
揮,command,ki,
操,maneuver,sō,ayatsu-ru
敬,respect,kei,uyama-u
映,reflect,ei,utsu-ru
晩,nightfall,ban,
暖,warmth,dan,atata-kai
暮,livelihood,bo,ku-rasu
朗,melodious,rō,hoga-raka
机,desk,ki,tsukue
枚,sheet of...,mai,
染,dye,sen,so-meru
株,stocks,kabu,
棒,rod,bō,
模,imitation,mo|bo,
権,rights,ken,
樹,trees,ju,ki
欲,longing,yoku,ho-shii
段,steps,dan,
沿,run alongside,en,so-u
泉,fountain,sen,izumi
洗,wash,sen,ara-u
派,sect,ha,
済,settle,sai,su-mu
源,origin,gen,minamoto
潮,tide,chō,shio
激,violent,geki,hage-shii
灰,ashes,kai,hai
熟,ripen,juku,u-reru
片,one-sided,hen,kata
班,group,han,
異,uncommon,i,koto-naru
疑,doubt,gi,utaga-u
痛,pain,tsū,ita-i
皇,emperor,kō,ō
盛,prosper,sei,mo-ru
盟,alliance,mei,
看,watch over,kan,
砂,sand,sa|sha,suna
磁,magnet,ji,
私,me,shi,watakushi|watashi
秘,secret,hi,
穀,cereal,koku,
穴,hole,ketsu,ana
窓,window,sō,mado
筋,muscle,kin,suji
策,scheme,saku,
簡,simplicity,kan,
糖,sugar,tō,
系,lineage,kei,
紅,deep red,kō,beni|kurenai
納,settlement,nō,osa-meru
純,genuine,jun,
絹,silk,ken,kinu
縦,vertical,ju,tate
縮,shrink,shuku,chidi-mu
署,government office,sho,
翌,the following,yoku,
聖,holy,sei,
肺,lung,hai,
背,back,hai,se
胸,bosom,kyō,mune
脳,brain,nō,
腹,abdomen,fuku,hara
臓,entrails,zō,
臨,lookover,rin,nozo-mu
至,climax,shi,ita-ru
若,young,jaku,waka-i
著,renowned,cho,arawa-su|ichijiru-shii
蒸,steam,jō,mu-su
蔵,warehouse,zō,kura
蚕,silkworm,san,kaiko
衆,masses,shū,
裁,judge,sai,saba-ku
装,attire,sō|shō,yosoo-u
裏,back,ri,ura
補,supplement,ho,ogina-u
視,look at,shi,mi-ru
覧,perusal,ran,
討,chastise,tō,u-tsu
訪,visit,hō,otozu-reru
訳,translate,yaku,wake
詞,poetry,shi,kotoba
誌,document,shi,
認,recognize,nin,mito-meru
誕,born,tan,
誠,sincerity,sei,makoto
誤,mistake,go,ayama-ru
論,theory,ron,
諸,everything,sho,moro
警,guard against,kei,
貴,precious,ki,
賃,fare,chin,
遺,bequeath,i,
郵,mail,yū,
郷,home town,kyō,gō
針,needle,shin,hari
鋼,steel,kō,hagane
閉,closed,hei,shi-meru
閣,tall,kaku,
降,descend,kō,o-riru
陛,majesty,hei,
除,exclude,jo|ji,nozo-ku
障,hurt,shō,sawa-ru
難,difficult,nan,muzuka-shii
革,leather,kaku,kawa
頂,place on the head,chō,itada-ku
骨,bone,kotsu,hone
