数,number,sū,kazu
多,many|much,ta,ō-i
少,a few|a little,shō,suku-nai|suko-shi
万,ten thousand,man,yorozu
半,half,han,naka-ba
形,shape,kei|gyō,katachi
太,fat,ta,futo-i
細,thin,sai,hoso-i
広,wide,kō,hiro-i
長,long,chō,naga-i
点,point,ten,
丸,circle,gan,maru
交,mix,kō,maji-waru
光,light,kō,hikari
角,angle|corner,kaku,kado|tsuno|sumi
計,measure,kei,haka-ru
直,straight|correct,choku|jiki,tada-chi|nao-su
線,line,sen,
矢,arrow,shi,ya
弱,weak,jaku,yowa-i
強,strong,kyō,tsuyo-i
高,tall|high,kō,taka-i
同,same,dō,ona-ji
親,parent,shin,oya
母,mother,bo,haha|kaa
父,father,fu,chichi|tou
姉,older sister,shi,ane
兄,older brother,kei,ani
弟,younger brother,tei|dai,otouto
妹,younger sister,mai,imōto
自,oneself,ji|shi,mizuka-ra
友,friend,yū,tomo
体,body,tai,karada
毛,hair,mō,ke
頭,head,tō,atama
顔,face,gan,kao
首,neck,shu,kubi
心,heart,shin,kokoro
時,time,ji,toki
曜,weekday,yō,
朝,morning,chō,asa
昼,daytime,chū,hiru
夜,night,ya,yoru
分,minute|understand,fun|bun,wa-karu
週,week,shū,
春,spring,shun,haru
夏,summer,ka,natsu
秋,autumn,shū,aki
冬,winter,tō,fuyu
今,now,kon,ima
新,new,shin,atara-shii
古,old,ko,furu-i
間,interval,kan|ken,ma|aida
方,direction,hō,kata
北,north,hoku,kita
南,south,nan,minami
東,east,tō,higashi|azuma
西,west,sei|sai,nishi
遠,far,en,tō-i
近,near,kin,chika-i
前,in front,zen,mae
後,behind,go|kou,nochi|ushi-ro|ato
内,inside,nai,uchi
外,outside,gai|ge,soto|hoka|hazu-su
場,place,jō,ba
地,ground,chi|ji,
国,country,koku,kuni
園,garden,en,sono
谷,valley,koku,tani
野,field,ya,no
原,field|origin,gen,hara
里,village,ri,sato
市,city,shi,ichi
京,capital,kyō|kei,
風,wind,fū,kaze
雪,snow,setsu,yuki
雲,cloud,un,kumo
池,pond,chi,ike
海,sea,kai,umi
岩,rock,gan,iwa
星,star,sei,hoshi
室,room,shitsu,muro
戸,door,ko,to|be
家,house,ka|ke,ie
寺,Buddhist temple,ji,tera
通,pass through,tsū,tō-ru
門,gates,mon,kado
道,road,dō,michi
話,talk,wa,hanashi
言,say,gen|gon,i-u|koto
答,answer,tō,kota-eru
声,voice,sei,koe
聞,hear,bun|mon,ki-ku
語,language,go,kata-ru
読,read,doku,yo-mu
書,write,sho,ka-ku
記,write down,ki,shiru-su
紙,paper,shi,kami
画,picture,ga|kaku,
絵,picture,kai,e
図,drawing,zu,haka-ru
工,craft,kō|ku,
教,teach,kyō,oshi-eru
晴,fine,sei,hare
思,think,shi,omo-u
考,think about,kō,kanga-eru
知,know,chi,shi-ru
才,ability,sai|zai,wazukani|zae
理,reason,ri,kotowari
算,calculate,san,
作,make,saku,tsuku-ru
元,origin,gen|gan,moto
食,eat|meal,shoku,ta-beru|ku-u
肉,meat,niku,
馬,horse,ba,uma|ma
牛,cow,gyū,ushi
魚,fish,gyo,uo|sakana
鳥,bird,chō,tori
羽,feather,u,ha|hane
鳴,chirp,mei,na-ku
麦,wheat,baku,mugi
米,rice,bei|mai,kome
茶,tea,cha|sa,
色,colour,shoku,iro
黄,yellow,ō,ki
黒,black,koku,kuro
来,come,rai,ku-ru
行,go,kō|gyō,i-ku|yu-ku|okonau
帰,return home,ki,kae-ru
歩,walk,ho,aru-ku|ayu-mu
走,run,sō,hashi-ru
止,stop,shi,to-maru
活,active,katsu,i-kiru
店,store,ten,mise
買,buy,bai,ka-u
売,sell,bai,u-ru
午,noon,go,uma
汽,steam,ki,
弓,bow,kyū,yumi
回,-times|to revolve,kai,
会,association,kai|e,a-u
組,association|team,so,kumi
船,ship,sen,fune
明,bright,mei,aka-rui
社,company,sha,yashiro
切,cut,setsu,ki-ru
電,electricity,den,
毎,every,mai,
合,fit,gō,a-u
当,hit,tō,a-taru
台,base,dai|tai,
楽,pleasure,raku,tano-shii
公,public,kou,ōyake
引,pull,in,hi-ku
科,section,ka,
歌,song,ka,uta
刀,sword,tō,katana
番,number,ban,
用,use,yō,mochi-iru
何,what,ka,nani|nan
